Fluxo,Ano,Países,Valor US$ FOB
Exportação ,2024,Nauru,58380
Exportação ,2024,Quirguistão,53169
Exportação ,2024,"Salomão, Ilhas",50936
Exportação ,2024,"Cocos (Keeling), Ilhas",49568
Exportação ,2024,Niue,39926
Exportação ,2024,"Bouvet, Ilha",39395
Exportação ,2024,Toquelau,32870
Exportação ,2024,Guernsey,30332
Exportação ,2024,"Geórgia do Sul e Sandwich do Sul, Ilhas",28192
Exportação ,2024,Pitcairn,17685
Exportação ,2024,"Wallis e Futuna, Ilhas",8959
Exportação ,2024,Lesoto,7325
Exportação ,2024,Andorra,282
Exportação ,2024,São Pedro e Miquelon,190
Exportação ,2023,China,104324811805
Exportação ,2023,Estados Unidos,36915459733
Exportação ,2023,Argentina,16712209284
Exportação ,2023,Países Baixos (Holanda),12148381795
Exportação ,2023,México,8571678431
Exportação ,2023,Chile,7944784712
Exportação ,2023,Espanha,7858769806
Exportação ,2023,Singapura,7459246165
Exportação ,2023,Japão,6620217025
Exportação ,2023,Canadá,5772279323
Exportação ,2023,Alemanha,5646806466
Exportação ,2023,Coreia do Sul,5640635083
Exportação ,2023,Índia,4686024342
Exportação ,2023,Indonésia,4110204815
Exportação ,2023,Itália,4085106804
Exportação ,2023,Malásia,4066503324
Exportação ,2023,Colômbia,3822571869
Exportação ,2023,Vietnã,3722437150
Exportação ,2023,Portugal,3716013615
Exportação ,2023,Paraguai,3668617673
Exportação ,2023,Bélgica,3432725603
Exportação ,2023,Turquia,3381552524
Exportação ,2023,Tailândia,3349745364
Exportação ,2023,Reino Unido,3317250184
Exportação ,2023,Arábia Saudita,3203556626
Exportação ,2023,Peru,3196094519
Exportação ,2023,Uruguai,3180924402
Exportação ,2023,Emirados Árabes Unidos,3165705594
Exportação ,2023,França,2932355355
Exportação ,2023,Argélia,2373913302
Exportação ,2023,Egito,2314700830
Exportação ,2023,Irã,2298109484
Exportação ,2023,Bangladesh,2105984306
Exportação ,2023,Taiwan (Formosa),1998612835
Exportação ,2023,Bolívia,1798535294
Exportação ,2023,Polônia,1750837816
Exportação ,2023,África do Sul,1642492859
Exportação ,2023,Filipinas,1550999933
Exportação ,2023,Hong Kong,1438416299
Exportação ,2023,Noruega,1372189386
Exportação ,2023,Suíça,1365845298
Exportação ,2023,Rússia,1343313932
Exportação ,2023,Iraque,1288662425
Exportação ,2023,Marrocos,1238351221
Exportação ,2023,Omã,1191451418
Exportação ,2023,Barein,1171058995
Exportação ,2023,Venezuela,1152749458
Exportação ,2023,Equador,1110177865
Exportação ,2023,República Dominicana,1067075215
Exportação ,2023,Nigéria,976301409
Exportação ,2023,Panamá,949864982
Exportação ,2023,Suécia,812919908
Exportação ,2023,Austrália,712786968
Exportação ,2023,Israel,661867476
Exportação ,2023,Iêmen,608447674
Exportação ,2023,Finlândia,577733224
Exportação ,2023,Guatemala,577223652
Exportação ,2023,Costa Rica,558322091
Exportação ,2023,Dinamarca,540824282
Exportação ,2023,Líbia,450877038
Exportação ,2023,Grécia,439314710
Exportação ,2023,Libéria,415863001
Exportação ,2023,Geórgia,410486192
Exportação ,2023,Angola,409769293
Exportação ,2023,Romênia,407732885
Exportação ,2023,Jordânia,402900277
Exportação ,2023,Brasil,389238015
Exportação ,2023,Tunísia,379709036
Exportação ,2023,Eslovênia,364973120
Exportação ,2023,Catar,363982418
Exportação ,2023,Paquistão,352370192
Exportação ,2023,Líbano,330929879
Exportação ,2023,Guiana,327378421
Exportação ,2023,"Marshall, Ilhas",317921829
Exportação ,2023,Bulgária,315849668
Exportação ,2023,"Virgens, Ilhas (Americanas)",302786170
Exportação ,2023,Gana,297101537
Exportação ,2023,Senegal,292408480
Exportação ,2023,Trinidad e Tobago,289304460
Exportação ,2023,Uzbequistão,268355982
Exportação ,2023,Coveite (Kuweit),268028150
Exportação ,2023,Chipre,237972829
Exportação ,2023,Irlanda,236383049
Exportação ,2023,El Salvador,233816664
Exportação ,2023,Porto Rico,233659031
Exportação ,2023,Mauritânia,233255955
Exportação ,2023,Jamaica,227975428
Exportação ,2023,Costa do Marfim,221966103
Exportação ,2023,Cuba,220138343
Exportação ,2023,Bahamas,219813510
Exportação ,2023,Honduras,205018329
Exportação ,2023,Islândia,196629451
Exportação ,2023,"Congo, República Democrática",192587649
Exportação ,2023,Camarões,177749834
Exportação ,2023,Somália,174602292
Exportação ,2023,Nicarágua,173940031
Exportação ,2023,Guiné,151915400
Exportação ,2023,Togo,145476052
Exportação ,2023,Quênia,126351494
Exportação ,2023,Letônia,121137529
Exportação ,2023,Malta,119083180
Exportação ,2023,Nova Zelândia,116617662
Exportação ,2023,Gâmbia,112619173
Exportação ,2023,Albânia,100489235
Exportação ,2023,Áustria,96290130
Exportação ,2023,Gibraltar,95079730
Exportação ,2023,Djibuti,93192824
Exportação ,2023,Congo,87670924
Exportação ,2023,"Tcheca, República",81838153
Exportação ,2023,Benin,81608854
Exportação ,2023,Maurício,80115144
Exportação ,2023,Tanzânia,73250405
Exportação ,2023,Luxemburgo,73035024
Exportação ,2023,Santa Lúcia,70638174
Exportação ,2023,Mianmar,69654616
Exportação ,2023,Croácia,69180016
Exportação ,2023,Haiti,68423422
Exportação ,2023,Estônia,65605333
Exportação ,2023,Hungria,64471223
Exportação ,2023,Lituânia,53104222
Exportação ,2023,Madagascar,52095364
Exportação ,2023,Gabão,51195407
Exportação ,2023,Cazaquistão,49635186
Exportação ,2023,Suriname,46087412
