Fluxo,Ano,Países,Valor US$ FOB
Importação ,2024,Libéria,421
Importação ,2024,Lesoto,403
Importação ,2024,"Congo, República Democrática",356
Importação ,2024,Quirguistão,280
Importação ,2024,Tonga,213
Importação ,2024,Santa Helena,183
Importação ,2024,Saara Ocidental,180
Importação ,2024,República Centro-Africana,155
Importação ,2024,Santa Lúcia,148
Importação ,2024,Benin,102
Importação ,2024,Iêmen,93
Importação ,2024,Sudão do Sul,54
Importação ,2024,Bancos Centrais,49
Importação ,2024,Falkland (Malvinas),45
Importação ,2024,Vaticano,28
Importação ,2023,China,53175757148
Importação ,2023,Estados Unidos,37958896968
Importação ,2023,Alemanha,13147236762
Importação ,2023,Argentina,11997506946
Importação ,2023,Rússia,10012627611
Importação ,2023,Índia,6873149275
Importação ,2023,Itália,5852861741
Importação ,2023,México,5541362812
Importação ,2023,França,5504503922
Importação ,2023,Japão,5128511630
Importação ,2023,Coreia do Sul,4826870549
Importação ,2023,Chile,4313317855
Importação ,2023,Espanha,3983542967
Importação ,2023,Arábia Saudita,3531822499
Importação ,2023,Canadá,3376162168
Importação ,2023,Bélgica,3116414227
Importação ,2023,Vietnã,3007564229
Importação ,2023,Paraguai,2952385666
Importação ,2023,Reino Unido,2829168878
Importação ,2023,Países Baixos (Holanda),2818286819
Importação ,2023,Suíça,2750033840
Importação ,2023,Taiwan (Formosa),2414676213
Importação ,2023,Colômbia,2288494404
Importação ,2023,Uruguai,2140160226
Importação ,2023,Suécia,2087253306
Importação ,2023,Austrália,2000222338
Importação ,2023,Tailândia,1970567094
Importação ,2023,Argélia,1824741950
Importação ,2023,Peru,1580625755
Importação ,2023,Bolívia,1520465471
Importação ,2023,Malásia,1468662963
Importação ,2023,Indonésia,1465401335
Importação ,2023,Marrocos,1412083665
Importação ,2023,Israel,1351954692
Importação ,2023,Áustria,1307596745
Importação ,2023,Dinamarca,1255446830
Importação ,2023,Emirados Árabes Unidos,1202418411
Importação ,2023,Turquia,1132392091
Importação ,2023,Portugal,1062812145
Importação ,2023,Guiana,986374844
Importação ,2023,Irlanda,959167406
Importação ,2023,Singapura,937696013
Importação ,2023,Polônia,849852556
Importação ,2023,Finlândia,821009223
Importação ,2023,Nigéria,757189818
Importação ,2023,Hong Kong,743780097
Importação ,2023,Angola,708191795
Importação ,2023,Catar,698550898
Importação ,2023,"Tcheca, República",698241725
Importação ,2023,Noruega,684828319
Importação ,2023,Omã,675244836
Importação ,2023,África do Sul,577115632
Importação ,2023,Hungria,543783655
Importação ,2023,Egito,488970023
Importação ,2023,Gabão,474557232
Importação ,2023,Porto Rico,454399233
Importação ,2023,Eslováquia,447649650
Importação ,2023,Gana,430604261
Importação ,2023,Venezuela,412736502
Importação ,2023,Coveite (Kuweit),400458328
Importação ,2023,Belarus,372410887
Importação ,2023,Uzbequistão,369263616
Importação ,2023,Brasil,354828432
Importação ,2023,Romênia,353418907
Importação ,2023,Trinidad e Tobago,349325401
Importação ,2023,Filipinas,309914258
Importação ,2023,Congo,221914684
Importação ,2023,Barein,215032058
Importação ,2023,Bangladesh,203793655
Importação ,2023,Costa do Marfim,149227792
Importação ,2023,Costa Rica,138028980
Importação ,2023,Paquistão,131693687
Importação ,2023,Jordânia,128588272
Importação ,2023,Eslovênia,115536240
Importação ,2023,Lituânia,105710904
Importação ,2023,Equador,104168896
Importação ,2023,Malta,92066835
Importação ,2023,Nova Zelândia,86540495
Importação ,2023,Bulgária,82436693
Importação ,2023,Sri Lanka,75911902
Importação ,2023,Camboja,75673066
Importação ,2023,Cazaquistão,71548759
Importação ,2023,Guatemala,67231712
Importação ,2023,Tunísia,62997858
Importação ,2023,Estônia,61653395
Importação ,2023,Grécia,58506000
Importação ,2023,Luxemburgo,46842211
Importação ,2023,Togo,46204482
Importação ,2023,Sérvia,41909479
Importação ,2023,República Dominicana,32262958
Importação ,2023,Letônia,26680772
Importação ,2023,Macedônia,23422526
Importação ,2023,Croácia,22395662
Importação ,2023,Honduras,22218250
Importação ,2023,Ucrânia,21343389
Importação ,2023,Brunei,15511846
Importação ,2023,San Marino,14850418
Importação ,2023,Panamá,13827490
Importação ,2023,Islândia,13583768
Importação ,2023,Turcomenistão,13151783
Importação ,2023,Mianmar,12820763
Importação ,2023,Liechtenstein,12643355
Importação ,2023,Líbano,12592085
Importação ,2023,"Congo, República Democrática",8587611
Importação ,2023,Bósnia-Herzegovina,7779922
Importação ,2023,El Salvador,7122355
Importação ,2023,Camarões,5198346
Importação ,2023,Madagascar,4864369
Importação ,2023,Nicarágua,4850525
Importação ,2023,Mônaco,4764556
Importação ,2023,Senegal,4488232
Importação ,2023,Irã,3795129
Importação ,2023,Albânia,3639262
Importação ,2023,Namíbia,3361900
Importação ,2023,Síria,3002148
Importação ,2023,Laos,2816579
Importação ,2023,Moldávia,2781291
Importação ,2023,Macau,2702057
Importação ,2023,Mongólia,2623614
Importação ,2023,"Virgens, Ilhas (Britânicas)",2526604
Importação ,2023,Iraque,2394003
Importação ,2023,Moçambique,2191288
Importação ,2023,Cuba,2181520
Importação ,2023,Chipre,2131879
Importação ,2023,Quênia,1704881
Importação ,2023,Tanzânia,1601939
Importação ,2023,Malavi,1408039
Importação ,2023,Toquelau,1393898
Importação ,2023,Zâmbia,1376305
Importação ,2023,Geórgia,1344862
Importação ,2023,"Cayman, Ilhas",1070402
Importação ,2023,Mauritânia,1050269
Importação ,2023,Samoa,936122
Importação ,2023,Maurício,923479
Importação ,2023,Haiti,793613
Importação ,2023,Bermudas,758712
Importação ,2023,Tadjiquistão,747007
Importação ,2023,Anguilla,746853
Importação ,2023,Butão,587615
Importação ,2023,Barbados,540342
Importação ,2023,Seicheles,476832
Importação ,2023,Andorra,467441
Importação ,2023,Zimbábue,439452
Importação ,2023,Belize,435519
Importação ,2023,Guiné-Bissau,431996
Importação ,2023,Samoa Americana,367005
Importação ,2023,Azerbaijão,364808
Importação ,2023,Serra Leoa,349244
Importação ,2023,Afeganistão,298651
Importação ,2023,Maldivas,268324
Importação ,2023,"Pacífico, Ilhas do (EUA)",266404
Importação ,2023,Curaçao,237363
Importação ,2023,Armênia,196123
Importação ,2023,Palestina,194885
Importação ,2023,Nepal,193957
Importação ,2023,Etiópia,190813
Importação ,2023,"Cocos (Keeling), Ilhas",178234
Importação ,2023,Quirguistão,169447
Importação ,2023,Suazilândia,166355
Importação ,2023,Jamaica,146536
Importação ,2023,"Marshall, Ilhas",142670
Importação ,2023,"Aland, Ilhas",137098
Importação ,2023,Uganda,123986
Importação ,2023,Libéria,123119
Importação ,2023,Papua Nova Guiné,113349
Importação ,2023,Benin,109448
Importação ,2023,Gibraltar,107906
Importação ,2023,Eritreia,84395
Importação ,2023,Líbia,82253
Importação ,2023,República Centro-Africana,68002
Importação ,2023,Comores,66796
Importação ,2023,"Christmas (Navidad), Ilha",63482
